nodenumber     x-coordinate     y-coordinate     z-coordinate     y-coordinate pressure-coefficient 
         1  1.961338148E-02  4.903003275E-01 -1.796597242E+00  4.903003275E-01  1.426846534E-01 
         2 -4.682772979E-02  4.905534983E-01 -1.796137214E+00  4.905534983E-01  1.513975859E-01 
         3 -6.550315845E-15  5.580000281E-01 -1.794538617E+00  5.580000281E-01  7.370556891E-02 
         4  8.446197957E-02  4.884692430E-01 -1.794396639E+00  4.884692430E-01  1.465376318E-01 
         5 -1.108932793E-01  4.928786755E-01 -1.793705940E+00  4.928786755E-01  1.481842101E-01 
         6 -6.709994376E-02  5.580000281E-01 -1.793283701E+00  5.580000281E-01  7.387069613E-02 
         7  6.709994376E-02  5.580000281E-01 -1.793283701E+00  5.580000281E-01  7.212298363E-02 
         8  1.555431932E-01  4.897889495E-01 -1.789870381E+00  4.897889495E-01  1.377501488E-01 
         9 -1.341060400E-01  5.580000281E-01 -1.789520741E+00  5.580000281E-01  7.524596155E-02 
        10  1.341060400E-01  5.580000281E-01 -1.789520741E+00  5.580000281E-01  7.070995122E-02 
        11 -1.739881635E-01  4.963086843E-01 -1.789211631E+00  4.963086843E-01  1.550760865E-01 
        12 -2.009245753E-01  5.580000281E-01 -1.783254981E+00  5.580000281E-01  8.001863956E-02 
        13  2.009245753E-01  5.580000281E-01 -1.783254981E+00  5.580000281E-01  6.381442398E-02 
        14  2.217994183E-01  4.889566302E-01 -1.782725573E+00  4.889566302E-01  1.424747258E-01 
        15 -2.343677282E-01  4.920518398E-01 -1.781648278E+00  4.920518398E-01  1.589007974E-01 
        16  5.773879960E-02  6.336809397E-01 -1.778595448E+00  6.336809397E-01  4.267083108E-02 
        17 -2.184308693E-02  4.309643507E-01 -1.777877450E+00  4.309643507E-01  2.615142167E-01 
        18 -8.680624515E-02  4.330356121E-01 -1.776857138E+00  4.330356121E-01  2.798132300E-01 
        19 -1.312034726E-01  6.263053417E-01 -1.776171207E+00  6.263053417E-01  4.879840836E-02 
        20 -4.058543965E-02  6.485249996E-01 -1.776083350E+00  6.485249996E-01  4.259943962E-02 
        21  1.346473396E-01  6.263366938E-01 -1.775907159E+00  6.263366938E-01  4.100750014E-02 
        22  4.284869507E-02  4.263948798E-01 -1.775276661E+00  4.263948798E-01  2.673249543E-01 
        23 -2.674621046E-01  5.580000281E-01 -1.774495125E+00  5.580000281E-01  8.077404648E-02 
        24  2.674621046E-01  5.580000281E-01 -1.774495125E+00  5.580000281E-01  6.691744179E-02 
        25 -1.522265971E-01  4.373029172E-01 -1.774367809E+00  4.373029172E-01  2.706575394E-01 
        26  2.908082306E-01  4.890242815E-01 -1.772788525E+00  4.890242815E-01  1.454612762E-01 
        27 -2.074619830E-01  4.454966187E-01 -1.772164345E+00  4.454966187E-01  2.400067896E-01 
        28 -2.975401282E-01  4.911579192E-01 -1.772043467E+00  4.911579192E-01  1.560586691E-01 
        29  1.077900007E-01  4.244878590E-01 -1.771554589E+00  4.244878590E-01  2.748248577E-01 
        30  1.798666865E-01  4.294581711E-01 -1.768169403E+00  4.294581711E-01  2.756689787E-01 
        31 -2.455924153E-01  6.124728918E-01 -1.766785979E+00  6.124728918E-01  5.265424028E-02 
        32 -1.966044903E-01  6.509858966E-01 -1.765135407E+00  6.509858966E-01  4.401829094E-02 
        33  2.286264896E-01  6.407884359E-01 -1.763345122E+00  6.407884359E-01  2.871754207E-02 
        34 -3.336255550E-01  5.580000281E-01 -1.763253450E+00  5.580000281E-01  8.357699215E-02 
        35  3.336255550E-01  5.580000281E-01 -1.763253450E+00  5.580000281E-01  7.203883678E-02 
        36 -1.282467991E-01  6.946542263E-01 -1.762521982E+00  6.946542263E-01  4.163813964E-02 
        37  1.353713125E-01  6.947168708E-01 -1.761976361E+00  6.947168708E-01  3.027203493E-02 
        38  3.865678608E-02  7.205893993E-01 -1.761433482E+00  7.205893993E-01  3.414970264E-02 
        39 -2.604584396E-01  4.364719391E-01 -1.761368871E+00  4.364719391E-01  2.574879825E-01 
        40  2.981335223E-01  6.021252275E-01 -1.760771275E+00  6.021252275E-01  4.215769842E-02 
        41  3.585170209E-01  4.903217852E-01 -1.760575294E+00  4.903217852E-01  1.520157903E-01 
        42  2.494037151E-01  4.294952452E-01 -1.759726167E+00  4.294952452E-01  3.028106689E-01 
        43 -3.613293469E-01  4.871526361E-01 -1.759423375E+00  4.871526361E-01  1.642533839E-01 
        44 -3.061932623E-01  6.166219711E-01 -1.756457448E+00  6.166219711E-01  5.309476703E-02 
        45 -5.370729044E-02  7.463610172E-01 -1.755703926E+00  7.463610172E-01  3.649974242E-02 
        46 -2.700793743E-01  6.733871698E-01 -1.750807285E+00  6.733871698E-01  4.260829464E-02 
        47 -3.993224204E-01  5.580000281E-01 -1.749545813E+00  5.580000281E-01  7.793652266E-02 
        48  3.993224204E-01  5.580000281E-01 -1.749545813E+00  5.580000281E-01  7.221760601E-02 
        49 -5.827004462E-02  3.856184185E-01 -1.748784184E+00  3.856184185E-01  4.258324504E-01 
        50  9.923515469E-02  7.735598683E-01 -1.748037577E+00  7.735598683E-01  2.872051112E-02 
        51 -3.224112689E-01  4.289295971E-01 -1.747546792E+00  4.289295971E-01  2.873890102E-01 
        52  3.224112689E-01  4.289295971E-01 -1.747546792E+00  4.289295971E-01  2.965291142E-01 
        53 -1.226594150E-01  3.882441521E-01 -1.747520208E+00  3.882441521E-01  4.331924617E-01 
        54  3.608594537E-01  6.101765633E-01 -1.747358441E+00  6.101765633E-01  4.204635322E-02 
        55 -2.123999149E-01  7.295596004E-01 -1.747142911E+00  7.295596004E-01  4.132123664E-02 
        56  6.620480213E-03  3.818364739E-01 -1.746657014E+00  3.818364739E-01  4.294666946E-01 
        57 -3.634992242E-01  6.127753258E-01 -1.746282220E+00  6.127753258E-01  5.259611085E-02 
        58  3.154914379E-01  6.591058373E-01 -1.746138096E+00  6.591058373E-01  2.857662737E-02 
        59  4.252198040E-01  4.894812405E-01 -1.745515823E+00  4.894812405E-01  1.634772122E-01 
        60 -1.412707120E-01  7.722143531E-01 -1.745426178E+00  7.722143531E-01  3.964760154E-02 
        61 -4.263084531E-01  4.888955057E-01 -1.745144010E+00  4.888955057E-01  1.628624946E-01 
        62 -2.061129808E-01  3.933849335E-01 -1.743548155E+00  3.933849335E-01  4.053317904E-01 
        63  1.607500762E-02  8.112764359E-01 -1.742833972E+00  8.112764359E-01  3.270491958E-02 
        64  7.124090195E-02  3.789980710E-01 -1.742808819E+00  3.789980710E-01  4.501915574E-01 
        65  1.991932392E-01  7.588954568E-01 -1.742568612E+00  7.588954568E-01  2.320625074E-02 
        66  2.791338265E-01  7.148057818E-01 -1.740811467E+00  7.148057818E-01  2.092414908E-02 
        67  1.359802485E-01  3.789303005E-01 -1.738897204E+00  3.789303005E-01  4.633598030E-01 
        68 -3.461855054E-01  6.728585958E-01 -1.737470865E+00  6.728585958E-01  4.034880921E-02 
        69  2.118659616E-01  3.830729127E-01 -1.734803557E+00  3.830729127E-01  4.856385887E-01 
        70 -4.644607902E-01  5.580000281E-01 -1.733391166E+00  5.580000281E-01  7.397886366E-02 
        71  4.644607902E-01  5.580000281E-01 -1.733391166E+00  5.580000281E-01  7.377725095E-02 
        72 -3.847986460E-01  4.254013896E-01 -1.733090162E+00  4.254013896E-01  3.107295334E-01 
        73  3.847986460E-01  4.254013896E-01 -1.733090162E+00  4.254013896E-01  3.267831504E-01 
        74 -9.731155634E-02  8.467274904E-01 -1.732628822E+00  8.467274904E-01  3.879827261E-02 
