x,y,z,r,static_pressure_Pa,Cp_corrected
-1.207718252999999908e+00,2.458217143999999799e+00,9.481587409999999716e-01,1.535444032442757845e+00,1.498327190324999947e+02,-2.732510392491467946e-02
-7.229991555000000458e-01,3.228259324999999791e+00,7.790668011000000392e-01,1.062860696154439788e+00,1.378051166799999976e+02,-2.971868044856168165e-02
-1.045245050999999981e+00,1.792751669999999908e+00,1.153757453000000099e+00,1.556821594465158887e+00,2.864788932862500133e+02,-1.315648342272009120e-04
-1.225698112999999978e+00,2.283914565999999979e+00,1.021404385999999942e+00,1.595494526456232354e+00,1.680285000012499950e+02,-2.370401695514383691e-02
-1.765934348000000043e+00,6.425386070999999921e-01,3.183415829999999835e-01,1.794398362937597913e+00,3.459061973500000136e+02,1.169488200877621432e-02
-1.140021323999999892e+00,9.982708097000000391e-01,1.312817931000000105e+00,1.738717785935898652e+00,2.390923507700000243e+02,-9.561816382252555022e-03
-9.897348880999999876e-01,2.170758247000000196e+00,1.066674351999999937e+00,1.455118318878894312e+00,2.118282875362500022e+02,-1.498755459531935647e-02
-1.293827891000000063e+00,2.054065227999999799e+00,1.085810184000000067e+00,1.689075003428687882e+00,1.721203132337500108e+02,-2.288971766211603948e-02
-1.001958727999999965e+00,2.405606984999999920e+00,1.005173682999999984e+00,1.419258759215937582e+00,1.854006172462500217e+02,-2.024684479522183972e-02
-1.112074494000000024e+00,1.787480474000000097e+00,1.153655528999999902e+00,1.602382838087585748e+00,2.706916908412500220e+02,-3.273327925402236532e-03
-9.627162813999999846e-01,2.201820135000000178e+00,1.060894607999999906e+00,1.432592059085948444e+00,2.157935932425000090e+02,-1.419843117991223709e-02
-1.189382434000000099e+00,1.782803893000000084e+00,1.158349990999999912e+00,1.660242535281355902e+00,2.469697272962499994e+02,-7.994163664066307462e-03
-1.073040962000000098e+00,1.765365005000000043e+00,1.158716201999999917e+00,1.579253033211331259e+00,2.812957466025000031e+02,-1.163047074597754141e-03
-1.185150504000000105e+00,2.342935323999999930e+00,1.011172294999999943e+00,1.557899588326224993e+00,1.658036079612499805e+02,-2.414678594588006572e-02
-8.767639994999999464e-01,2.785386801000000023e+00,9.038652778000000332e-01,1.259240863072552452e+00,1.590747810225000194e+02,-2.548586930765480221e-02
-9.467155336999999449e-01,3.084917783999999941e+00,7.741957307000000288e-01,1.222967428504529996e+00,1.377843965400000172e+02,-2.972280390053632509e-02
-1.136324644000000106e+00,2.543727159999999987e+00,9.492893219000000382e-01,1.480670089261983069e+00,1.491112445637500059e+02,-2.746868236226231164e-02
-1.776646018000000105e+00,5.674648285000000181e-01,2.561568915999999918e-01,1.795017388882188758e+00,3.956747009162500035e+02,2.159916037298879529e-02
-1.232631921999999935e+00,1.399007319999999943e+00,1.238853573999999957e+00,1.747609691248588559e+00,2.818034405024999955e+02,-1.062012457337882390e-03
-1.768930912000000077e+00,6.118412018000000119e-01,3.033826947000000107e-01,1.794758376738380123e+00,3.782390121737500408e+02,1.812933704290591377e-02
-1.220736623000000076e+00,1.684362769000000037e+00,1.181509732999999951e+00,1.698871140465684437e+00,2.550823429000000147e+02,-6.379696733300824381e-03
-6.175488829999999929e-01,3.764292478999999858e+00,5.303546785999999624e-01,8.140286899166742085e-01,1.736751525687500077e+02,-2.258029382008776287e-02
-1.237184048000000036e+00,2.343065262000000093e+00,9.894099831999999539e-01,1.584157973019575616e+00,1.435882583800000134e+02,-2.856779502681618815e-02
-7.919114231999999642e-01,3.413516045000000165e+00,6.653390527000000443e-01,1.034311247759775121e+00,1.784213920387500423e+02,-2.163575915407117689e-02
-7.911584972999999854e-01,3.239583731000000189e+00,7.550638318000000293e-01,1.093642152599511252e+00,1.314683921512500149e+02,-3.097973270355924152e-02
-1.122302413000000110e+00,6.043787002999999602e-01,1.395811914999999903e+00,1.791048187035064077e+00,2.893459308775000522e+02,4.389955875182969462e-04
-1.198613166999999979e+00,1.206373214999999943e+00,1.271649837000000005e+00,1.747503027765015426e+00,2.672429202887499855e+02,-3.959657252559727579e-03
-1.059979795999999919e+00,1.542753816000000056e+00,1.208913206999999934e+00,1.607802323044480008e+00,2.812152587737500085e+02,-1.179064712335442001e-03
-1.758558392999999942e+00,7.006559371999999675e-01,3.324263989999999835e-01,1.789702470340489127e+00,2.829066807087500592e+02,-8.424599829351392529e-04
-9.600076078999999485e-01,2.017271041999999959e+00,1.109956264000000026e+00,1.467520873861328790e+00,2.514629329712500123e+02,-7.099984483178933652e-03
-9.619469643000000403e-01,2.472144842000000065e+00,9.888808130999999779e-01,1.379575015953573569e+00,1.835231162800000106e+02,-2.062048054607508452e-02
-1.173039436000000046e+00,1.681206106999999950e+00,1.178786754999999964e+00,1.662997213519802564e+00,2.793076824037499932e+02,-1.558685677718185149e-03
-1.171839595000000012e+00,1.499977112000000057e+00,1.214962362999999934e+00,1.687999283150412921e+00,3.074173725087500202e+02,4.035338164310100541e-03
-1.230502486000000006e+00,1.638480186000000005e+00,1.191688418000000027e+00,1.712967499296914164e+00,2.637036243187499736e+02,-4.664001767430525462e-03
-1.263954519999999970e+00,1.617102623000000072e+00,1.199039339999999898e+00,1.742204456284068392e+00,2.356574870912500046e+02,-1.024537814480741028e-02
-7.885438799999999748e-01,3.200193167000000116e+00,7.718510628000000429e-01,1.103428979966968315e+00,1.360601421550000225e+02,-3.006594251584592675e-02
-9.594494700000000265e-01,2.547187089999999987e+00,9.679095148999999898e-01,1.362861737124215544e+00,1.740295345337499953e+02,-2.250976934422233358e-02
-7.521643043000000306e-01,3.004806279999999941e+00,8.554661869999999890e-01,1.139110854027570952e+00,1.521630340825000189e+02,-2.686135502194051533e-02
-6.803810000000000136e-01,3.655677557000000188e+00,5.705909729000000485e-01,8.879709249271445781e-01,1.612576721000000077e+02,-2.505145880058508301e-02
-1.126098990000000022e+00,1.539877892000000026e+00,1.205778003000000043e+00,1.649848334786470083e+00,3.172905891662500153e+02,6.000176950268169135e-03
-1.020579456999999968e+00,2.762354135999999905e+00,8.946482539000000234e-01,1.357194874090207337e+00,1.422414424812500044e+02,-2.883582075816674972e-02
-1.158673881999999988e+00,1.632619738999999903e+00,1.187830090999999921e+00,1.659356950723387403e+00,3.005630848062500036e+02,2.671287237932719588e-03
-9.872706531999999591e-01,2.633098840999999801e+00,9.412162899999999555e-01,1.364034987539292754e+00,1.655711353012499956e+02,-2.419304962213554566e-02
-1.356002331000000005e+00,1.929227948000000081e+00,1.111436843999999979e+00,1.753292382883731682e+00,1.438254600300000163e+02,-2.852059024865919237e-02
-9.579933285999999715e-01,2.400281906000000021e+00,1.008770943000000031e+00,1.391175773611378341e+00,1.895679649587500251e+02,-1.941751361530960271e-02
-1.393980621999999947e+00,1.894312382000000072e+00,1.104843974000000006e+00,1.778724875127016158e+00,1.228398488712500125e+02,-3.269687283032667036e-02
-1.242541670999999903e+00,1.716676593000000084e+00,1.176338791999999911e+00,1.711047269287289785e+00,2.353913314637500207e+02,-1.029834496587030308e-02
-1.089626312000000041e+00,2.501714944999999801e+00,9.737284779999999529e-01,1.461311961447971486e+00,1.643884353475000353e+02,-2.442841513895660163e-02
-1.140157818999999906e+00,1.867609381999999929e+00,1.137117504999999973e+00,1.610278259309322557e+00,2.354726043950000189e+02,-1.028217108727449633e-02
-1.015850544000000077e+00,1.509591579000000072e+00,1.226475596000000001e+00,1.592543473607126225e+00,2.508373672437500090e+02,-7.224476413944414845e-03
-1.063462377000000014e+00,2.533270121000000152e+00,9.662685394000000150e-01,1.436881038057326254e+00,1.677861393250000219e+02,-2.375224841540711507e-02
-9.336896539000000272e-01,2.366880893999999902e+00,1.019909978000000050e+00,1.382748253668708127e+00,1.979726432862500189e+02,-1.774492417113602769e-02
-1.001653074999999893e+00,1.679663061999999929e+00,1.188158512000000000e+00,1.554036528623123914e+00,2.938468376375000162e+02,1.334707337883965245e-03
-1.023824810999999890e+00,2.522796392000000054e+00,9.719953537000000088e-01,1.411733760747249988e+00,1.699941150950000122e+02,-2.331284588005850741e-02
-9.996698498999999627e-01,2.678149223000000134e+00,9.265179037999999867e-01,1.363002287181145800e+00,1.559274473225000008e+02,-2.611221060458313384e-02
-1.247301935999999944e+00,1.845462680000000022e+00,1.147324323999999951e+00,1.694731608246982768e+00,2.039912109375000284e+02,-1.654718734763529348e-02
-1.306923269999999970e+00,1.642610192000000024e+00,1.196540356000000083e+00,1.771936019500732318e+00,1.599910636887499891e+02,-2.530352268405656330e-02
-6.788969635999999586e-01,3.351601361999999806e+00,7.441382408000000170e-01,1.007294797269507658e+00,1.367256059487500011e+02,-2.993351059239395678e-02
-1.002569795000000097e+00,2.823278666000000214e+00,8.750314713000000300e-01,1.330723964468884413e+00,1.360712825500000065e+02,-3.006372549975621852e-02
-1.275359511000000001e+00,1.984329580999999898e+00,1.111185670000000014e+00,1.691530512734401803e+00,1.741042278062500088e+02,-2.249490486348123056e-02
-5.405643582000000391e-01,3.905853270999999793e+00,4.664118290000000000e-01,7.139676600430184816e-01,1.600663738099999875e+02,-2.528853544612384707e-02
-1.059395789999999948e+00,1.617418170000000099e+00,1.192161202000000086e+00,1.594856661717224178e+00,2.978196762362500181e+02,2.125329851292059435e-03
-6.748635173000000487e-01,3.450454950000000132e+00,7.000860571999999449e-01,9.723997400598012320e-01,1.334243995700000198e+02,-3.059047362262310929e-02
-1.186865448999999906e+00,2.383232593999999871e+00,9.963295460000000103e-01,1.549620004472882950e+00,1.634621337737499971e+02,-2.461275559483179151e-02
-1.212804675000000110e+00,2.322587013000000145e+00,1.010716080999999988e+00,1.578747027263663449e+00,1.670797680037500186e+02,-2.389282122135543557e-02
-1.070958257000000025e+00,2.459580659999999863e+00,9.876736998999999795e-01,1.456863386083483425e+00,1.739673835462500051e+02,-2.252213782301316566e-02
-1.183414339999999898e+00,2.488512753999999827e+00,9.506153464000000053e-01,1.517939075499681323e+00,1.441314016362500183e+02,-2.845970574110190041e-02
-7.172415256999999933e-01,3.453105211000000008e+00,6.795843244000000505e-01,9.880638947753673795e-01,1.580259532950000221e+02,-2.569459332033154422e-02
-8.895359039000000356e-01,3.220022202000000000e+00,7.290793061000000463e-01,1.150143799231403641e+00,1.707841891962499972e+02,-2.315561563871282660e-02
-9.195483327000000262e-01,3.064645767000000021e+00,7.968613504999999542e-01,1.216781470968404388e+00,1.369959018925000009e+02,-2.987971981960019924e-02
-1.005589365999999929e+00,1.644036650999999960e+00,1.196281074999999916e+00,1.562785456617586055e+00,3.038492908762500520e+02,3.325265102389092422e-03
-8.275837301999999784e-01,3.281755208999999951e+00,7.251181006000000373e-01,1.100314087117627571e+00,1.563068017699999928e+02,-2.603671643100926789e-02
-9.352135061999999888e-01,2.039249419999999979e+00,1.110219121000000086e+00,1.451623504498638972e+00,2.564644866962500487e+02,-6.104640504631875936e-03
-7.123594283999999943e-01,3.603220224000000194e+00,5.877816676999999546e-01,9.235492645844984860e-01,1.793247959125000079e+02,-2.145597549975621771e-02
-6.274923681999999836e-01,3.552262305999999814e+00,6.708955169000000440e-01,9.186117061880729739e-01,1.441254015250000293e+02,-2.846089980497318317e-02
-1.205272316999999926e+00,1.509195327999999892e+00,1.215354800000000068e+00,1.711656696890351492e+00,2.954792301300000190e+02,1.659564797659685139e-03
-1.089617728999999979e+00,2.426757573999999806e+00,9.963309168999999743e-01,1.476462695540226688e+00,1.679493953812500138e+02,-2.371975932471964699e-02
-8.260474205000000181e-01,3.346808671999999873e+00,6.877784729000000485e-01,1.074892352144790397e+00,1.643709209712500012e+02,-2.443190062164797907e-02
-9.857522844999999645e-01,1.810647606999999937e+00,1.158392072000000050e+00,1.521045613671536900e+00,2.911887954587500076e+02,8.057384568503213156e-04
-1.717483877999999908e+00,1.719874740000000068e+00,6.911092400999999663e-01,1.851319219621920809e+00,1.359232978949999904e+02,-3.009317547537786880e-02
-1.157979011999999974e+00,1.538706303000000108e+00,1.206579089000000105e+00,1.672348196472423165e+00,3.109159946199999922e+02,4.731588298391030747e-03
-1.100133537999999911e+00,1.413446307000000068e+00,1.232760309999999970e+00,1.652268677710647893e+00,2.781082904775000202e+02,-1.797373013164303744e-03
-9.438409804999999819e-01,2.333360433999999817e+00,1.027880072999999950e+00,1.395483156810459757e+00,2.002021709712500126e+02,-1.730123265480253483e-02
-9.389510155000000413e-01,2.435159445000000034e+00,1.000696540000000079e+00,1.372232696985628886e+00,1.849870750700000031e+02,-2.032914256460263344e-02
-1.248135685999999911e+00,2.106102228000000132e+00,1.077695370000000041e+00,1.649020921997694789e+00,1.800968696799999975e+02,-2.130232745002438172e-02
-9.408931731999999881e-01,2.506981134000000111e+00,9.804289937000000288e-01,1.358867534037795810e+00,1.814580784100000130e+02,-2.103143744514870614e-02
-7.552382946000000263e-01,3.194372176999999979e+00,7.827571034000000427e-01,1.087701045578919556e+00,1.351402051912500042e+02,-3.024901637006338628e-02
-1.125814319000000063e+00,2.432296753000000145e+00,9.917759298999999640e-01,1.500359082351436113e+00,1.720314887899999974e+02,-2.290739434422233226e-02
-1.210319399999999934e+00,2.102719307000000093e+00,1.082237362999999952e+00,1.623610408900347357e+00,1.835651546662500095e+02,-2.061211461482203786e-02
-6.400813459999999955e-01,3.583312750000000158e+00,6.459297537999999506e-01,9.093565727157307821e-01,1.541735099624999918e+02,-2.646125633837153115e-02
-1.197775722000000043e+00,2.068417311000000147e+00,1.091775536999999963e+00,1.620691365869596945e+00,1.844843345800000236e+02,-2.042919141882008557e-02
