time_s,altitude_km,velocity_ms,mach,heat_flux_Wm2
0.000000000000000000e+00,1.200000000000000000e+02,7.599969693457534959e+03,2.772683388468712806e+01,1.231399888344887040e+04
3.432921431085808606e-02,1.199749937484371003e+02,7.599969588017384922e+03,2.772683350001170766e+01,1.232965553010925760e+04
6.865842909797145732e-02,1.199499874968742290e+02,7.599969482210397473e+03,2.772683311399796580e+01,1.234677031853317203e+04
1.029876443630370897e-01,1.199249812453113293e+02,7.599969376035294772e+03,2.772683272664123066e+01,1.236480828031782585e+04
1.373168601076978079e-01,1.198999749937484296e+02,7.599969269490797160e+03,2.772683233793684110e+01,1.238345719908523097e+04
1.716460763336022100e-01,1.198749687421855441e+02,7.599969162575617702e+03,2.772683194788009686e+01,1.240253028535131671e+04
2.059752930424646467e-01,1.198499624906226586e+02,7.599969055288469463e+03,2.772683155646630837e+01,1.242191259314160379e+04
2.403045102359253615e-01,1.198249562390597731e+02,7.599968947628056412e+03,2.772683116369074341e+01,1.244153114836069835e+04
2.746337279157103906e-01,1.197999499874968734e+02,7.599968839593080702e+03,2.772683076954866976e+01,1.246133805422797377e+04
3.089629460834916186e-01,1.197749437359339737e+02,7.599968731182239026e+03,2.772683037403532680e+01,1.248130077749402153e+04
3.432921647409469257e-01,1.197499374843711024e+02,7.599968622394223530e+03,2.772682997714595032e+01,1.250139645812061644e+04
3.776213838898199726e-01,1.197249312328082027e+02,7.599968513227722724e+03,2.772682957887575483e+01,1.252160850553892487e+04
4.119506035318004078e-01,1.196999249812453030e+02,7.599968403681417840e+03,2.772682917921992285e+01,1.254192451535454893e+04
4.462798236685838749e-01,1.196749187296824175e+02,7.599968293753989201e+03,2.772682877817364755e+01,1.256233496234993800e+04
4.806090443019319092e-01,1.196499124781195320e+02,7.599968183444110764e+03,2.772682837573208303e+01,1.258283235897914710e+04
5.149382654335320497e-01,1.196249062265566465e+02,7.599968072750451938e+03,2.772682797189038340e+01,1.260341069903011703e+04
5.492674870651578223e-01,1.195998999749937468e+02,7.599967961671677585e+03,2.772682756664367076e+01,1.262406508000725262e+04
5.835967091985289068e-01,1.195748937234308471e+02,7.599967850206447110e+03,2.772682715998706016e+01,1.264479144020114472e+04
6.179259318353709229e-01,1.195498874718679758e+02,7.599967738353415371e+03,2.772682675191563817e+01,1.266558637114222984e+04
6.522551549774754376e-01,1.195248812203050761e+02,7.599967626111235404e+03,2.772682634242449495e+01,1.268644698079579393e+04
6.865843786265803939e-01,1.194998749687421764e+02,7.599967513478552064e+03,2.772682593150868513e+01,1.270737079170741708e+04
7.209136027844297301e-01,1.194748687171793051e+02,7.599967400454006565e+03,2.772682551916325266e+01,1.272835566375521194e+04
7.552428274528335539e-01,1.194498624656164054e+02,7.599967287036235575e+03,2.772682510538322020e+01,1.274939973458408167e+04
7.895720526335480161e-01,1.194248562140535057e+02,7.599967173223872123e+03,2.772682469016360685e+01,1.277050137298788104e+04
8.239012783283354846e-01,1.193998499624906202e+02,7.599967059015541963e+03,2.772682427349939260e+01,1.279165914193790013e+04
8.582305045390246079e-01,1.193748437109277347e+02,7.599966944409868120e+03,2.772682385538555394e+01,1.281287176891104718e+04
8.925597312673702044e-01,1.193498374593648492e+02,7.599966829405467251e+03,2.772682343581704956e+01,1.283413812182045331e+04
9.268889585152133570e-01,1.193248312078019495e+02,7.599966714000954198e+03,2.772682301478882394e+01,1.285545718930190378e+04
9.612181862843414137e-01,1.192998249562390498e+02,7.599966598194934704e+03,2.772682259229578960e+01,1.287682806442569563e+04
9.955474145765479399e-01,1.192748187046761785e+02,7.599966481986014514e+03,2.772682216833285906e+01,1.289824993113132768e+04
1.029876643393693003e+00,1.192498124531132788e+02,7.599966365372789369e+03,2.772682174289490931e+01,1.291972205284707343e+04
1.064205872737582714e+00,1.192248062015503791e+02,7.599966248353853189e+03,2.772682131597681021e+01,1.294124376287829182e+04
1.098535102610029845e+00,1.191997999499874936e+02,7.599966130927796257e+03,2.772682088757342100e+01,1.296281445623940817e+04
1.132864333012913116e+00,1.191747936984246081e+02,7.599966013093198853e+03,2.772682045767956183e+01,1.298443358267261283e+04
1.167193563948058177e+00,1.191497874468617084e+02,7.599965894848643075e+03,2.772682002629005638e+01,1.300610064064943617e+04
1.201522795417296896e+00,1.191247811952988229e+02,7.599965776192700105e+03,2.772681959339969637e+01,1.302781517219054331e+04
1.235852027422527311e+00,1.190997749437359374e+02,7.599965657123941128e+03,2.772681915900326644e+01,1.304957675837203533e+04
1.270181259965574183e+00,1.190747686921730519e+02,7.599965537640927323e+03,2.772681872309551920e+01,1.307138501540994548e+04
1.304510493048348874e+00,1.190497624406101522e+02,7.599965417742218960e+03,2.772681828567120021e+01,1.309323959123468921e+04
1.338839726672709007e+00,1.190247561890472525e+02,7.599965297426369034e+03,2.772681784672503014e+01,1.311514016248253574e+04
1.373168960840518871e+00,1.189997499374843812e+02,7.599965176691926899e+03,2.772681740625171898e+01,1.313708643184398170e+04
1.407498195553709142e+00,1.189747436859214815e+02,7.599965055537436456e+03,2.772681696424595188e+01,1.315907812571845898e+04
1.441827430814157429e+00,1.189497374343585818e+02,7.599964933961436145e+03,2.772681652070239977e+01,1.318111499213341449e+04
1.476156666623747560e+00,1.189247311827956963e+02,7.599964811962458043e+03,2.772681607561570161e+01,1.320319679889224972e+04
1.510485902984430195e+00,1.188997249312328108e+02,7.599964689539032406e+03,2.772681562898050345e+01,1.322532333192115402e+04
1.544815139898082723e+00,1.188747186796699253e+02,7.599964566689682215e+03,2.772681518079140872e+01,1.324749439378927673e+04
1.579144377366668905e+00,1.188497124281070256e+02,7.599964443412924993e+03,2.772681473104301375e+01,1.326970980238097218e+04
1.613473615392099436e+00,1.188247061765441259e+02,7.599964319707273717e+03,2.772681427972989354e+01,1.329196938970084011e+04
1.647802853976291448e+00,1.187996999249812546e+02,7.599964195571237724e+03,2.772681382684660534e+01,1.331427300079639645e+04
1.682132093121229355e+00,1.187746936734183549e+02,7.599964071003317258e+03,2.772681337238768506e+01,1.333662049278408631e+04
1.716461332828843833e+00,1.187496874218554552e+02,7.599963946002011653e+03,2.772681291634765088e+01,1.335901173396707782e+04
1.750790573101072445e+00,1.187246811702925839e+02,7.599963820565812966e+03,2.772681245872100320e+01,1.338144660303433557e+04
1.785119813939919808e+00,1.186996749187296842e+02,7.599963694693206889e+03,2.772681199950222108e+01,1.340392498833227364e+04
1.819449055347337030e+00,1.186746686671667845e+02,7.599963568382676385e+03,2.772681153868576587e+01,1.342644678720073171e+04
1.853778297325282320e+00,1.186496624156038990e+02,7.599963441632697140e+03,2.772681107626607400e+01,1.344901190536693139e+04
1.888107539875780727e+00,1.186246561640410135e+02,7.599963314441740295e+03,2.772681061223757482e+01,1.347162025639121202e+04
1.922436783000784244e+00,1.185996499124781280e+02,7.599963186808272440e+03,2.772681014659467280e+01,1.349427176115895418e+04
1.956766026702331684e+00,1.185746436609152283e+02,7.599963058730752891e+03,2.772680967933174045e+01,1.351696634741464186e+04
1.991095270982408794e+00,1.185496374093523286e+02,7.599962930207638237e+03,2.772680921044315383e+01,1.353970394933340322e+04
2.025424515843008422e+00,1.185246311577894573e+02,7.599962801237376880e+03,2.772680873992324990e+01,1.356248450712671365e+04
2.059753761286190255e+00,1.184996249062265576e+02,7.599962671818412673e+03,2.772680826776635143e+01,1.358530796667893810e+04
2.094083007313961353e+00,1.184746186546636579e+02,7.599962541949186743e+03,2.772680779396677053e+01,1.360817427921163107e+04
2.128412253928335218e+00,1.184496124031007724e+02,7.599962411628131122e+03,2.772680731851878733e+01,1.363108340097338441e+04
2.162741501131393296e+00,1.184246061515378869e+02,7.599962280853673292e+03,2.772680684141666418e+01,1.365403529295276894e+04
2.197070748925143313e+00,1.183995998999750014e+02,7.599962149624237099e+03,2.772680636265465282e+01,1.367702992061204168e+04
2.231399997311680483e+00,1.183745936484121017e+02,7.599962017938239114e+03,2.772680588222697651e+01,1.370006725364036902e+04
2.265729246293046728e+00,1.183495873968492020e+02,7.599961885794090449e+03,2.772680540012783723e+01,1.372314726572429572e+04
2.300058495871291964e+00,1.183245811452863308e+02,7.599961753190197669e+03,2.772680491635141919e+01,1.374626993433438111e+04
2.334387746048533163e+00,1.182995748937234310e+02,7.599961620124961883e+03,2.772680443089189239e+01,1.376943524052662542e+04
2.368716996826834009e+00,1.182745686421605313e+02,7.599961486596776012e+03,2.772680394374339485e+01,1.379264316875704026e+04
2.403046248208265290e+00,1.182495623905976601e+02,7.599961352604032982e+03,2.772680345490005749e+01,1.381589370670901008e+04
2.437375500194965738e+00,1.182245561390347603e+02,7.599961218145112980e+03,2.772680296435597924e+01,1.383918684513179687e+04
2.471704752789021242e+00,1.181995498874718606e+02,7.599961083218394378e+03,2.772680247210523774e+01,1.386252257768958225e+04
2.506034005992524794e+00,1.181745436359089751e+02,7.599960947822252820e+03,2.772680197814191061e+01,1.388590090082029019e+04
2.540363259807636886e+00,1.181495373843460897e+02,7.599960811955052122e+03,2.772680148246002574e+01,1.390932181360312825e+04
2.574692514236445184e+00,1.181245311327832042e+02,7.599960675615154287e+03,2.772680098505360746e+01,1.393278531763464525e+04
2.609021769281124836e+00,1.180995248812203045e+02,7.599960538800914946e+03,2.772680048591665880e+01,1.395629141691235600e+04
